millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
202549,25.28443,95195,14.44395,102.39000,523.25476,-10.04268,-0.99063,0.76810,0.08674,0.02107,-0.04795,-37.38673,4.12160,26.62964,20,
203896,25.29800,95194,14.43962,103.08000,523.42920,-9.72682,-1.18445,1.14138,-0.07025,-0.10873,0.00153,-37.40134,4.76469,26.64426,20,
205243,25.31283,95195,14.45016,102.26500,523.42920,-10.56670,-1.23470,0.35892,-0.13286,-0.06231,0.17440,-37.48904,4.99854,26.83426,20,
206593,25.32734,95195,14.43599,102.14100,523.25476,-9.82014,-1.15573,1.45723,-0.14416,0.03757,0.03543,-38.54136,2.85004,23.19497,20,
207938,25.34186,95195,14.44158,103.33400,523.25476,-9.82014,-2.17508,1.04088,-0.02474,0.09407,0.02810,-38.17597,5.96317,25.95732,20,
209286,25.35543,95195,14.43231,103.39700,523.34198,-9.38226,-2.31865,2.37607,-0.14355,-0.04704,0.26114,-38.39521,4.23853,23.06343,20,
210631,25.37089,95195,14.42312,103.01700,523.34198,-9.81297,-0.68195,1.69412,0.28253,0.24007,-0.39004,-37.63520,-1.21310,19.27799,20,
211977,25.38603,95195,14.41392,103.14400,523.25476,-9.87757,-1.43569,1.44287,0.37996,0.28314,0.02077,-38.71675,3.23005,20.91494,20,
213326,25.39802,95194,14.42434,103.52500,523.42920,-10.22214,-1.69412,0.43071,-0.13653,-0.20617,0.20067,-39.00906,4.12160,23.57498,20,
214672,25.41096,95194,14.42986,102.76500,523.34198,-9.89911,-1.67258,0.91884,-0.22846,-0.10782,0.18998,-38.55598,3.93160,21.44110,20,
216071,25.40023,95194,14.43432,103.20700,523.42920,-9.76272,-1.93819,0.98345,-0.02871,-0.08980,-0.03635,-39.54984,5.04239,20.65186,20,
217416,25.41475,95194,14.44979,102.89100,523.42920,-9.84886,-1.61516,1.33520,0.01772,0.01344,-0.13958,-38.86290,2.85004,20.18416,20,
218782,25.42800,95195,14.45038,103.08000,523.34198,-9.82732,-1.65105,1.22034,-0.00947,-0.10690,-0.00641,-38.39521,1.65156,20.16954,20,
220128,25.44819,95195,14.45129,103.58900,523.34198,-9.89193,-1.65105,1.09113,0.02443,-0.01985,-0.00794,-38.61444,3.24467,23.23882,20,
221473,25.46934,95195,14.45224,103.52500,523.42920,-9.97807,-1.42852,0.74656,0.03879,-0.09163,0.06445,-38.62906,1.62233,21.38264,20,
222819,25.48858,95195,14.44816,103.46100,523.34198,-9.94218,-1.15573,1.32084,0.02077,-0.05681,0.03757,-38.54136,2.13388,19.92108,20,
